kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
9143254;K01386.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;1.137525054;1.49E-07;-1.49E-07;1238;54;-0.05;2.68228;0.00463;-0.00463;1.80E+04;2.17E+01;-2.17E+01;42.74;1.22E+01;-5.20E+00;1746;;;2197.52;1839.82;-697.33;633.1;5912;160;-178;4467;81;-189;937;267;-114;286.36188;45.555161;15.452
8949247;K01387.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;23.79993927;1.63E-06;-1.63E-06;1137;38;-96;5.02319;0.00348;-0.00348;6.02E+04;2.35E+01;-2.35E+01;51.74;1.56E+01;-5.56E+00;637;;;38.92;34.34;-11.48;2065.8;5934;160;-178;4473;67;-202;957;288;-103;290.49307;45.205898;14.669
11336883;K01445.01;Kepler-853 b;CONFIRMED;CANDIDATE;998;0;0;0;0;7.16893064;2.57E-05;-2.57E-05;573;362;-355;4.6766;0.0866;-0.0866;1.13E+02;3.40E+00;-3.40E+00;1.61;3.10E-01;-2.80E-01;1187;;;469.56;248.31;-177.32;36.3;6221;113;-138;4198;0.13;-0.13;1458;281;-255;283.9368;49.110329;12.32
11336883;K01445.02;;CANDIDATE;CANDIDATE;;0;0;0;0;54.325574;2.51E-03;-2.51E-03;154;0.2765;-154;9.86;1.1;-1.1;4.42E+01;6.50E+00;-6.50E+00;0.76;2.20E-01;-5.00E-02;545;;;20.85;15.63;-4.54;7.7;6343;86;-185;4411;36;-193;1137;327;-0.07;283.9368;49.110329;12.32
11336883;K01445.03;;CANDIDATE;CANDIDATE;;0;0;0;0;20.01959599;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;283.9368;49.110329;12.32
12506351;K01446.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;1.22775877;3.39E-07;-3.39E-07;1111;1302;-103;2.7545;0.0182;-0.0182;4.61E+04;1.95E+02;-1.95E+02;48.79;1.64E+01;-5.46E+00;1859;;;2809.86;2701.9;-874.28;292.7;6207;150;-206;4412;72;-203;1044;0.35;-117;289.04999;51.418369;13.184
7622486;K01447.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;40.24649897;1.61E-05;-1.61E-05;877;62;-58;6.0203;0.0172;-0.0172;1.59E+05;4.21E+02;-4.21E+02;97.54;2.60E+01;-3.17E+01;768;;;82.27;65.23;-49.85;420.9;6594;187;-234;4051;293;-158;1691;0.45;-0.55;296.02509;43.234875;13.092
7622486;K01447.02;;FALSE POSITIVE;FALSE POSITIVE;957;0;1;0;0;2.27999662;1.07E-06;-1.07E-06;739;7;-11;5.7777;0.0362;-0.0362;1.28E+04;5.15E+01;-5.15E+01;20.74;5.52E+00;-6.75E+00;2000;;;3775.07;2992.77;-2287.62;366.8;6594;187;-234;4051;293;-158;1691;0.45;-0.55;296.02509;43.234875;13.092
9705459;K01448.01;;FALSE POSITIVE;FALSE POSITIVE;867;0;1;0;0;2.48658617;2.40E-06;-2.40E-06;79;192;-79;2.7189;0.0394;-0.0394;4.21E+04;5.49E+02;-5.49E+02;24.39;7.64E+00;-3.28E+00;1461;;;1077.69;1009.67;-378.33;91.6;5892;174;-208;4.35;87;-203;1198;375;-161;289.80521;46.491711;15.418
8564587;K01270.01;Kepler-57 b;CONFIRMED;CANDIDATE;1;0;0;0;0;5.729317577;4.53E-06;-4.53E-06;597;297;-389;1.1816;0.0247;-0.0247;8.65E+02;1.77E+01;-1.77E+01;2.41;3.80E-01;-2.00E-01;850;;;123.03;61.68;-30.46;59;5320;159;-143;4589;28;-105;786;122;-66;293.6413;44.65704;14.809
10925104;K00156.03;Kepler-114 d;CONFIRMED;CANDIDATE;1;0;0;0;0;11.77613232;6.96E-06;-6.96E-06;0.54;266;-335;2.8971;0.0261;-0.0261;1.43E+03;9.60E+00;-9.60E+00;2.08;1.30E-01;-1.20E-01;446;;;9.37;2.04;-1.75;163.5;3980;79;-79;4722;0.03;-33;0.54;33;-33;294.12143;48.349522;13.738
8564587;K01270.02;Kepler-57 c;CONFIRMED;CANDIDATE;1;0;0;0;0;11.60908533;2.51E-05;-2.51E-05;0.03;426;-0.03;2.2603;0.0523;-0.0523;4.89E+02;1.59E+01;-1.59E+01;1.71;2.60E-01;-1.50E-01;671;;;48.06;24.09;-11.9;34.1;5320;159;-143;4589;28;-105;786;122;-66;293.6413;44.65704;14.809
8631160;K01271.01;;CANDIDATE;CANDIDATE;1;0;0;0;0;162.0479502;1.15E-04;-1.15E-04;663;15;-21;9.8974;46;-46;4.84E+03;1.51E+01;-1.51E+01;11.52;2.07E+00;-2.06E+00;437;;;8.65;3.96;-3.12;370.2;6309;75;-82;4.16;148;-121;1567;281;-281;294.2655;44.7943;13.632
8552498;K01272.01;;FALSE POSITIVE;FALSE POSITIVE;;0;1;0;1;0.530967162;4.65E-07;-4.65E-07;1167;0.1302;-0.0628;3.3659;0.0493;-0.0493;2.45E+02;2.60E+00;-2.60E+00;23.72;1.32E+01;-3.30E+00;2704;;;12644.75;21173.2;-4425.78;125.5;6449;163;-208;4316;104;-0.31;1193;663;-166;288.86734;44.61573;13.586
8806072;K01273.01;Kepler-802 b;CONFIRMED;CANDIDATE;927;0;0;0;0;40.05881661;9.53E-05;-9.53E-05;819;13;-572;5595;108;-108;1.24E+03;2.24E+01;-2.24E+01;3.43;9.80E-01;-3.10E-01;489;;;13.57;11.36;-3.61;62.6;5668;152;-169;4545;34;-195;868;248;-78;286.01587;45.007771;14.862
4455231;K01332.02;Kepler-288 b;CONFIRMED;CANDIDATE;999;0;0;0;0;6.09747233;5.34E-05;-5.34E-05;12;446;-12;3431;158;-158;2.18E+02;1.42E+01;-1.42E+01;2.22;3.40E-01;-5.20E-01;1197;;;485.84;202.17;-214.51;17.4;5661;85;-77;4.09;203;-87;1522;236;-353;288.91644;39.594711;15.151
4455231;K01332.03;Kepler-288 d;CONFIRMED;CANDIDATE;991;0;0;0;0;56.637918;7.04E-04;-7.04E-04;298;184;-298;6172;0.26;-0.26;5.90E+02;3.08E+01;-3.08E+01;3.68;5.70E-01;-8.50E-01;570;;;24.87;10.35;-10.98;20.9;5661;85;-77;4.09;203;-87;1522;236;-353;288.91644;39.594711;15.151
4285107;K01333.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;0;1;1;2.243016513;4.52E-06;-4.52E-06;737;172;-737;2721;557;-557;3.00E+02;1.73E+01;-1.73E+01;1.37;2.60E-01;-1.20E-01;1167;;;438.46;264.13;-107.87;59.1;5462;162;-146;4614;0.03;-0.12;732;142;-61;296.65308;39.322689;13.98
4150624;K01334.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;8.6531216;3.45E-05;-3.45E-05;1214;36.04;-635;4.39;163;-163;6.55E+02;2.18E+01;-2.18E+01;22.58;5.25E+00;-1.64E+00;772;;;84.05;59.78;-20.14;35.7;5421;164;-164;4564;28;-171;852;198;-62;289.7439;39.286301;15.454
8972058;K00159.01;Kepler-115 c;CONFIRMED;CANDIDATE;1;0;0;0;0;8.99088621;1.14E-05;-1.14E-05;0.77;16;-529;4.2447;0.0306;-0.0306;4.70E+02;5.40E+00;-5.40E+00;2.78;4.60E-01;-3.90E-01;960;;;200.35;92.7;-62.82;93.6;5881;105;-117;4315;115;-115;1171;196;-161;297.71185;45.261921;13.431
9346253;K01388.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;34.06456641;6.86E-06;-6.86E-06;524;9;0;9.6114;0.0117;-0.0117;2.85E+04;2.63E+01;-2.63E+01;15.57;4.69E+00;-1.57E+00;570;;;25;22.27;-7.47;1305.9;6161;172;-215;4517;52;-208;892;269;-0.09;293.38663;45.87027;15.443
9002237;K01389.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;4.350087749;1.82E-06;-1.82E-06;986;5892;-34;2.6428;23;-23;2.36E+04;1.45E+02;-1.45E+02;24.77;7.80E+00;-2.60E+00;1136;;;393.2;362.17;-117.38;192.2;6060;162;-198;4495;52;-208;953;0.3;-0.1;283.18909;45.36417;14.855
9288786;K01390.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;1.744101106;6.45E-07;-6.45E-07;618;169;-341;1.5497;0.0626;-0.0626;9.68E+03;7.88E+01;-7.88E+01;7.21;3.00E-01;-5.60E-01;1016;;;251.54;55.67;-64.24;152.6;4368;132;-145;4593;49;-18;703;29;-54;294.91586;45.783871;15.702
8958035;K01391.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;7.981187121;2.28E-06;-2.28E-06;1036;342;-53;1.8071;0.0132;-0.0132;7.61E+03;4.62E+01;-4.62E+01;18.75;6.06E+00;-2.03E+00;966;;;205.88;197.13;-61.93;202.1;6217;175;-197;4472;54;-216;989;0.32;-107;293.70905;45.286388;14.36
9040849;K01392.01;;FALSE POSITIVE;FALSE POSITIVE;87;0;0;1;0;4.118775582;4.22E-06;-4.22E-06;754;63;-244;3.76;117;-117;2.65E+03;2.55E+01;-2.55E+01;4.48;1.15E+00;-3.80E-01;1067;;;306.75;241.38;-84.39;125.6;5944;186;-207;4579;33;-176;802;206;-69;297.60529;45.36068;15.797
9202151;K01393.01;;CANDIDATE;CANDIDATE;1;0;0;0;0;1.694740233;1.28E-06;-1.28E-06;671;1;-534;1.6864;0.0323;-0.0323;1.45E+03;1.80E+01;-1.80E+01;2.12;1.40E-01;-1.50E-01;797;;;95.14;21.52;-20.22;92.3;3764;75;-83;4739;33;-33;527;34;-38;283.55554;45.614262;15.804
7842610;K01453.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;0.971933156;2.54E-07;-2.54E-07;1.42;0.23;-297;1.9265;0.0131;-0.0131;4.79E+03;2.76E+01;-2.76E+01;50.75;1.29E+01;-6.92E+00;1754;;;2240.48;1725.09;-762.59;223.1;5592;169;-169;4445;98;-182;931;236;-127;297.89658;43.563889;15.289
7830637;K01454.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;121.5991278;1.92E-04;-1.92E-04;5011;69.17;-1954;15.1596;0.0581;-0.0581;1.05E+04;4.19E+01;-4.19E+01;379.63;1.07E+02;-3.32E+01;358;;;3.87;3.18;-1.01;297;6036;161;-179;4551;36;-192;847;238;-74;294.54739;43.533691;14.6
4760746;K01455.01;;CANDIDATE;CANDIDATE;0;0;0;0;0;15.06806077;5.68E-06;-5.68E-06;0.88;15;-12;3.3011;0.0242;-0.0242;1.94E+04;1.11E+02;-1.11E+02;16.43;4.62E+00;-1.85E+00;742;;;71.78;61.67;-23.51;282.8;5982;189;-232;4493;48;-0.18;0.96;0.27;-108;295.4783;39.867722;15.95
7832356;K01456.01;Kepler-855 b;CONFIRMED;CANDIDATE;1;0;0;0;0;7.886632468;3.48E-06;-3.48E-06;48;0.1;-48;5.2147;0.0118;-0.0118;6.33E+03;1.83E+01;-1.83E+01;8.99;2.64E+00;-1.76E+00;996;;;232.07;205.05;-100.77;392.3;5847;176;-193;4304;0.18;-0.18;1135;333;-222;295.095;43.537579;15.014
9643874;K01457.01;Kepler-856 b;CONFIRMED;CANDIDATE;1;0;0;0;0;8.027681123;1.97E-06;-1.97E-06;495;46;-148;3.0942;0.0307;-0.0307;8.73E+03;2.39E+01;-2.39E+01;8.43;2.25E+00;-7.50E-01;824;;;109.35;90.48;-29.96;461.5;5569;183;-183;4546;33;-187;887;237;-79;289.60382;46.314949;15.57
